zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density
10110,Manhattan,0,,86543.0,0.7488379924003028,0.0,0.010313022763698765,0.0,0.5024271844660194,low,0,0.0
10065,Manhattan,31047,160938.0,160938.0,0.36155774843484806,2.0,0.4173845135766993,74384.64770517833,0.9320388349514563,medium,0,11.217018295023735
11694,Queens,21430,103792.0,103792.0,9.379167857330051,3.0,1.7473286223402127,12264.435965856617,0.7184466019417476,medium,1,9.41454050158525
11362,Queens,18156,118989.0,118989.0,6.403111449722118,0.0,2.091995131763233,8678.796486824163,0.8155339805825242,low,1,9.068753361161114
10307,Staten Island,14821,138807.0,138807.0,1.6481914863274916,2.0,1.6137513596836104,9184.190557649341,0.8786407766990292,medium,0,9.12534774404799
10314,Staten Island,93539,104655.0,104655.0,0.7702510191007427,0.0,13.550304467372623,6903.092120566722,0.7281553398058253,low,0,8.839869575745903
10306,Staten Island,57249,97746.0,97746.0,2.513942419237309,5.0,7.267626200464317,7877.2625917858095,0.6650485436893204,high,0,8.971862675266001
10032,Manhattan,55579,56588.0,56588.0,2.1388908908419832,5.0,0.672636857433276,82628.53779985334,0.13592233009708737,high,0,11.322122496067742
10302,Staten Island,19693,76089.0,76089.0,3.182530406496488,0.0,1.1932202657670452,16504.07771723574,0.30097087378640774,low,1,9.711423352984825
10024,Manhattan,62576,182614.0,182614.0,0.39480575000095414,3.0,1.0415024250011327,60082.43331736069,0.9611650485436893,medium,0,11.003489430566923
11420,Queens,50060,98584.0,98584.0,3.3597471135618053,1.0,2.1077489360514856,23750.45677583357,0.6893203883495146,low,1,10.075399145511527
11369,Queens,33354,80577.0,80577.0,3.0893206107381688,0.0,1.083905195448222,30772.06395916138,0.32524271844660196,low,1,10.334395039542049
11411,Queens,20501,118393.0,118393.0,6.195120505980571,0.0,1.1793059235679484,17383.954061703473,0.8106796116504854,low,1,9.763360402028546
10026,Manhattan,37113,74140.0,74140.0,0.5263812125674782,4.0,0.38328928092520426,96827.64910726083,0.2766990291262136,medium,0,11.480698191328466
10033,Manhattan,53611,75585.0,75585.0,2.7704602972537855,3.0,0.5964421169061422,89884.66521796008,0.28640776699029125,medium,0,11.406293755220334
11221,Brooklyn,90750,85122.0,85122.0,2.6567173409826945,4.0,1.3809086666060086,65717.59754614689,0.3883495145631068,medium,0,11.093137232090076
11214,Brooklyn,88994,64286.0,64286.0,6.201182232000159,6.0,2.0242726206434223,43963.44597681361,0.20388349514563106,high,1,10.69113654027376
10034,Manhattan,39037,69786.0,69786.0,4.259698018592626,3.0,1.028350426688205,37960.795257039346,0.23786407766990292,medium,1,10.54433554499438
11205,Brooklyn,50205,86753.0,86753.0,0.8359072420210965,2.0,1.3167804657452726,38127.08443513014,0.5776699029126213,medium,0,10.548706413853752
10044,Manhattan,11998,106146.0,106146.0,0.6162415113495298,1.0,0.23006666573132226,52150.10163189643,0.7427184466019418,low,0,10.86190058449912
11204,Brooklyn,81368,67588.0,67588.0,4.896495283750466,4.0,1.594517687562092,51029.85099174791,0.22330097087378642,medium,1,10.840185650222082
10075,Manhattan,23865,146556.0,146556.0,0.9852926613318892,0.0,0.18866191182720315,126496.12085908538,0.883495145631068,low,0,11.74797482688347
11230,Brooklyn,88252,69522.0,69522.0,4.874770261220074,7.0,1.8429152917529317,47887.171154815835,0.23300970873786409,high,1,10.776623804150908
11218,Brooklyn,71313,95916.0,95916.0,3.315765261861725,3.0,1.361942673536631,52361.234716889834,0.6601941747572816,medium,1,10.865940898962005
10305,Staten Island,41714,86294.0,86294.0,4.766638740026713,3.0,4.03611655820404,10335.182197652282,0.4174757281553398,medium,1,9.24340585334886
11220,Brooklyn,90792,64201.0,64201.0,3.572848816974815,5.0,1.727934147793531,52543.66904892526,0.1941747572815534,high,1,10.869418925848523
11208,Brooklyn,106901,59988.0,59988.0,2.612445817211696,7.0,2.676413421422317,39941.886086937186,0.15048543689320387,high,0,10.595205864923413
10012,Manhattan,21846,130938.0,130938.0,0.36228581401215804,4.0,0.3239477271378159,67436.80591006628,0.8495145631067961,medium,0,11.11896105819137
11354,Queens,52325,62833.0,62833.0,3.350567861696033,1.0,2.1745670630031566,24062.260893318813,0.17475728155339806,low,1,10.088441512070712
10010,Manhattan,31905,156127.0,156127.0,0.38616459346565357,3.0,0.36858394334517075,86561.0143253627,0.9077669902912622,medium,0,11.368616364666325
10278,Manhattan,0,,86543.0,0.7317483111093168,0.0,0.013772694422565098,0.0,0.5024271844660194,low,0,0.0
10172,Manhattan,0,,86543.0,0.7452903656922832,0.0,0.004793348101594922,0.0,0.5024271844660194,low,0,0.0
10021,Manhattan,39479,156712.0,156712.0,0.6994053839679178,3.0,0.35808972735931244,110248.90406975064,0.912621359223301,medium,0,11.610504923193073
10162,Manhattan,1769,110349.0,110349.0,0.8978249773864119,0.0,0.012797730766577899,138227.63052805094,0.7766990291262136,low,0,11.836664336211546
10023,Manhattan,67468,157866.0,157866.0,0.34054813480160695,6.0,1.005985417353379,67066.57853699292,0.9174757281553398,high,0,11.113456024923218
10471,Bronx,23400,108738.0,108738.0,6.664763800483166,1.0,1.7120911550662072,13667.49657619434,0.7621359223300971,low,1,9.522848943874187
11235,Brooklyn,81958,61689.0,61689.0,7.725780781118176,3.0,2.9010891189669494,28250.769500381455,0.1553398058252427,medium,1,10.248911371794605
