zip_code,geoid20,boroname,total_population,median_household_income,nearest_tj_distance_ft,nearest_tj_distance_miles
10014,10014,Manhattan,29772,167254.0,3091.3657178354533,0.5854859314082298
11361,11361,Queens,30402,108391.0,25682.126112282123,4.8640390364170685
11102,11102,Queens,28349,102996.0,10686.433746338476,2.023945785291378
10001,10001,Manhattan,29079,123393.0,3281.767378733122,0.6215468520327883
11105,11105,Queens,38507,100306.0,15247.251276671643,2.887736984218114
10173,10173,Manhattan,0,,3718.143312169539,0.7041938091230188
10170,10170,Manhattan,0,,3286.2384122187577,0.6223936386777951
10174,10174,Manhattan,0,,2954.9344353878305,0.5596466733689073
11357,11357,Queens,42341,97754.0,25372.72279141379,4.805439922616248
10453,10453,Bronx,78270,35482.0,18544.271003286918,3.5121725385013103
10468,10468,Bronx,79825,46624.0,25343.506493214543,4.799906532805784
10301,10301,Staten Island,39799,84937.0,23701.2150946529,4.488866495199413
11215,11215,Brooklyn,70922,180773.0,9959.816809542905,1.8863289412013078
10128,10128,Manhattan,59000,148705.0,6280.633010568978,1.189513827759276
11213,11213,Brooklyn,69630,62040.0,15360.19706101327,2.9091282312525135
10467,10467,Bronx,96304,47806.0,31914.138957109542,6.044344499452565
11223,11223,Brooklyn,78566,63950.0,34101.77060708169,6.458668675583654
11412,11412,Queens,41350,98418.0,26262.232749762017,4.973907717757958
11429,11429,Queens,27933,98232.0,30762.80589565222,5.826288995388678
11226,11226,Brooklyn,100022,81084.0,18627.01666016781,3.5278440644257216
10038,10038,Manhattan,23342,115121.0,5140.356641461964,0.973552394216281
11222,11222,Brooklyn,41418,123963.0,6291.429801911508,1.1915586746044522
11377,11377,Queens,83545,73292.0,11399.24414694589,2.158947755103388
10462,10462,Bronx,75452,63460.0,27329.622585965128,5.176064883705517
10309,10309,Staten Island,34918,123638.0,3083.6882419024805,0.5840318639966819
10069,10069,Manhattan,6669,226151.0,1868.0833147256214,0.3538036580919738
10474,10474,Bronx,11188,41279.0,17067.037296797967,3.2323934274238573
10119,10119,Manhattan,0,,3133.717583480917,0.593507118083507
10199,10199,Manhattan,0,,3526.105989982503,0.6678231041633529
10036,10036,Manhattan,30589,100225.0,6508.5227276348105,1.2326747590217444
